Lake_Series,Lake_Name,Date,pH,Contaminants,Bacteria_Level,Temperature,Turbidity,Dissolved_Oxygen,Nitrogen_Levels,Alkalinity_Level,Calcium_Hardness,Magnesium_Hardness,Sodium,Chloride_Levels,Total_Dissolved_Solids,Cadmium,Iron,Lead,Mercury,Zinc,Nitrate,Nitrite,Nickel
Varthur Lake Series,Doddanakundi Lake,09-12-2021,8.14,31.09,1695.05,33.64,5.84,13.67,2.93,199.38,35.61,142.7,90.3,12.88,769.62,0.0008,0.02,0.014,0.0001,0.019,0.81,0,0.15
Varthur Lake Series,Doddanakundi Lake,25-05-2020,8.59,20.45,1995.9,20.3,2.38,4.88,9.27,43.69,75.77,96.94,74.58,215.75,842.9,0.0024,0.29,0.015,0.0002,0.034,1.48,0.08,0.13
Varthur Lake Series,Doddanakundi Lake,25-03-2024,6.27,128.6,1865.1,24.06,0.44,11.57,6.31,166.03,249.23,130.45,85.83,51.87,987.42,0.0047,0.1,0.018,0.0002,0.042,1.72,0.07,0.1
Varthur Lake Series,Doddanakundi Lake,07-04-2021,7.2,140.24,241.26,20.17,3.47,10.12,0.66,104.98,252.53,18.02,3.62,140.01,547.97,0.0029,0.05,0.015,0.0002,0.041,0.49,0.05,0.12
Varthur Lake Series,Doddanakundi Lake,23-01-2021,8.47,51.11,1749.17,31.86,2.67,7.41,3.37,150.8,68.28,47.94,52.35,49.35,280.41,0.0002,0.13,0.003,0.0002,0.048,1.85,0.05,0.12
Varthur Lake Series,Doddanakundi Lake,22-03-2022,6.66,145.73,2682.99,31.69,0.19,8.47,8.96,147.93,36.97,29.44,20.52,64.13,621.65,0.0009,0.12,0.008,0.0002,0.047,2.89,0.09,0.11
Varthur Lake Series,Doddanakundi Lake,06-12-2021,8.25,129.83,334.88,29.89,3.19,7.12,0.17,69.34,6.25,6.01,94.77,147.16,616.57,0.0032,0.2,0.002,0.0002,0.012,1.87,0.03,0.11
Varthur Lake Series,Doddanakundi Lake,15-07-2023,7.54,142.88,1745.3,16.56,6.58,14.02,5.6,66.42,86.02,98.56,98.42,39.25,60.22,0.0021,0.04,0.016,0.0002,0.016,0.91,0.01,0.14
Varthur Lake Series,Doddanakundi Lake,19-07-2020,8.04,126.93,2797.72,26.19,3.54,4.34,6.34,185.51,152.87,0.78,89.1,130.27,526.8,0.0041,0.29,0.002,0.0002,0.015,0.11,0.01,0.1
Varthur Lake Series,Doddanakundi Lake,08-01-2020,6.71,20.75,1187.77,10.25,4.93,3.04,5.4,197.54,178.63,116.31,65,143.08,330.19,0.0022,0.29,0.005,0.0002,0.045,2.13,0.02,0.14
Varthur Lake Series,Doddanakundi Lake,09-02-2022,8.14,15.49,226.15,22.49,5.91,4.97,5.47,56.71,48.83,83.26,90.5,228.45,213.03,0.0009,0.2,0.008,0.0002,0.012,2.33,0.09,0.13
Varthur Lake Series,Doddanakundi Lake,06-08-2020,8.82,45.84,2846.26,18.38,2.56,7.57,0.9,160.93,286.39,89.31,93.85,91.89,309.42,0.0046,0.22,0.007,0.0002,0.015,1.24,0.05,0.11
Varthur Lake Series,Doddanakundi Lake,08-10-2021,8.68,0.3,1100.13,23.83,5.34,3.35,0.02,44.45,108.65,108.31,68.09,194.54,521.6,0.001,0.28,0.005,0.0002,0.019,1.58,0.06,0.13
Varthur Lake Series,Doddanakundi Lake,24-04-2024,8.92,128.91,1064.99,31.53,5.96,12.38,0.02,117.24,276.56,44.69,41.87,148.97,113.4,0.0037,0.18,0.007,0.0001,0.022,1.35,0.01,0.13
Varthur Lake Series,Doddanakundi Lake,11-03-2022,7.22,59.2,1966.86,17.3,1.35,11.04,3.23,157.37,108.83,5.81,8.75,208.97,980.09,0.0032,0.1,0.015,0.0002,0.042,2.31,0.05,0.14
Varthur Lake Series,Doddanakundi Lake,04-12-2021,6.99,123.21,2019.41,29.53,2.27,4.61,5.16,149.86,5.17,38.62,89.7,197.41,499.8,0.0031,0.06,0.004,0.0001,0.009,0.06,0.08,0.11
Varthur Lake Series,Doddanakundi Lake,24-03-2020,8.84,19.13,2244.57,33.66,4.77,4.87,2.06,66.07,226.28,68.71,79.27,121.17,698.87,0.0017,0.24,0.011,0.0002,0.002,2.36,0.08,0.13
Varthur Lake Series,Doddanakundi Lake,04-10-2022,7.71,81.52,485.36,23.48,0.23,11.65,4.61,173.77,116.01,116.78,13.04,34.05,803.81,0.0049,0.11,0.005,0.0002,0.006,1.67,0.02,0.13
